Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,CC_Battery,Torque_Nm,Seats_Clean,Price,Power_Speed_Ratio
Toyota,TOYOTA SEQUOIA,V8,"5,663 cc",381.0,200.0,6.9,"$50,000 ",Petrol,7,651 Nm,5663.0,651.0,7.0,50000.0,1.905
Nissan,GT-R,V6,"3,799 cc",600.0,315.0,2.9,"$113,000 ",Petrol,4,637 Nm,3799.0,637.0,4.0,113000.0,1.9047619047619047
Nissan,370Z,V6,"3,696 cc",332.0,250.0,4.7,"$30,000 ",Petrol,2,366 Nm,3696.0,366.0,2.0,30000.0,1.328
Nissan,Z PROTO,V6,"2,998 cc",400.0,290.0,4.1,"$40,000 ",Petrol,2,475 Nm,2998.0,475.0,2.0,40000.0,1.3793103448275863
Nissan,ALTIMA,I4,"2,488 cc",188.0,225.0,7.3,"$25,000 ",Petrol,5,380 Nm,2488.0,380.0,5.0,25000.0,0.8355555555555556
Nissan,MAXIMA,V6,"3,498 cc",300.0,240.0,5.8,"$35,000 ",Petrol,5,354 Nm,3498.0,354.0,5.0,35000.0,1.25
Nissan,SENTRA,I4,"1,998 cc",149.0,200.0,8.2,"$20,000 ",Petrol,5,240 Nm,1998.0,240.0,5.0,20000.0,0.745
Nissan,ROGUE,I4,"2,488 cc",201.0,200.0,7.5,"$28,000 ",Petrol,5,270 Nm,2488.0,270.0,5.0,28000.0,1.005
Nissan,PATHFINDER,V6,"3,498 cc",284.0,225.0,6.5,"$35,000 ",Petrol,7,351 Nm,3498.0,351.0,7.0,35000.0,1.2622222222222221
Nissan,FRONTIER,V6,"3,799 cc",310.0,180.0,6.8,"$30,000 ",Petrol,5,381 Nm,3799.0,381.0,5.0,30000.0,1.7222222222222223
Nissan,TITAN,V8,"5,598 cc",400.0,200.0,5.9,"$40,000 ",Petrol,5,560 Nm,5598.0,560.0,5.0,40000.0,2.0
Aston Martin,VALKYRIE,V12,"6,496 cc",1160.0,402.0,2.5,"$3,200,000 ",Hybrid,2,900 Nm,6496.0,900.0,2.0,3200000.0,2.8855721393034828
Aston Martin,VALHALLA,V8,"3,996 cc",1000.0,362.0,2.5,"$1,100,000 ",Hybrid,2,1000 Nm,3996.0,1000.0,2.0,1100000.0,2.7624309392265194
Aston Martin,DBS SUPERLEGGERA,V12,"5,204 cc",715.0,340.0,3.4,"$316,000 ",Petrol,2,900 Nm,5204.0,900.0,2.0,316000.0,2.1029411764705883
Aston Martin,DB11,V12,"5,204 cc",600.0,322.0,3.9,"$208,000 ",Petrol,4,700 Nm,5204.0,700.0,4.0,208000.0,1.8633540372670807
Aston Martin,VANTAGE,V8,"3,996 cc",503.0,313.0,3.6,"$142,000 ",Petrol,2,685 Nm,3996.0,685.0,2.0,142000.0,1.6070287539936101
Aston Martin,DBX,V8,"3,996 cc",542.0,291.0,4.5,"$189,000 ",Petrol,5,700 Nm,3996.0,700.0,5.0,189000.0,1.8625429553264605
Aston Martin,RAPIDE AMR,V12,"5,935 cc",580.0,328.0,4.2,"$240,000 ",Petrol,4,630 Nm,5935.0,630.0,4.0,240000.0,1.7682926829268293
Aston Martin,VANQUISH,V12,"5,935 cc",580.0,324.0,3.6,"$294,000 ",Petrol,2,630 Nm,5935.0,630.0,2.0,294000.0,1.7901234567901234
Aston Martin,LAGONDA TARAF,V12,"5,935 cc",540.0,314.0,4.2,"$1,100,000 ",Petrol,4,630 Nm,5935.0,630.0,4.0,1100000.0,1.7197452229299364
Aston Martin,VICTOR,V12,"5,204 cc",836.0,320.0,2.8,"$1,300,000 ",Petrol,2,821 Nm,5204.0,821.0,2.0,1300000.0,2.6125
Lamborghini,SIAN,V12,"6,498 cc",819.0,350.0,2.8,"$2,800,000 ",Hybrid,2,720 Nm,6498.0,720.0,2.0,2800000.0,2.34
Lamborghini,AVENTADOR SVJ,V12,"6,498 cc",759.0,350.0,2.8,"$518,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,518000.0,2.1685714285714286
Lamborghini,HURACAN PERFORMANTE,V10,"5,204 cc",640.0,325.0,2.9,"$274,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,274000.0,1.9692307692307693
Lamborghini,HURACAN EVO,V10,"5,204 cc",640.0,325.0,2.9,"$261,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,261000.0,1.9692307692307693
Lamborghini,AVENTADOR SV,V12,"6,498 cc",740.0,350.0,2.8,"$493,000 ",Petrol,2,690 Nm,6498.0,690.0,2.0,493000.0,2.1142857142857143
Lamborghini,URUS,V8,"3,996 cc",641.0,305.0,3.6,"$211,000 ",Petrol,5,850 Nm,3996.0,850.0,5.0,211000.0,2.101639344262295
Lamborghini,HURACAN SPYDER,V10,"5,204 cc",610.0,325.0,3.4,"$287,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,287000.0,1.876923076923077
Lamborghini,AVENTADOR ROADSTER,V12,"6,498 cc",700.0,350.0,3.0,"$445,000 ",Petrol,2,690 Nm,6498.0,690.0,2.0,445000.0,2.0
Lamborghini,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640.0,325.0,3.1,"$308,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,308000.0,1.9692307692307693
Lamborghini,AVENTADOR S,V12,"6,498 cc",740.0,350.0,2.9,"$421,000 ",Petrol,2,690 Nm,6498.0,690.0,2.0,421000.0,2.1142857142857143
Lamborghini,HURACAN EVO SPYDER,V10,"5,204 cc",640.0,325.0,3.1,"$287,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,287000.0,1.9692307692307693
Lamborghini,URUS PERFORMANTE,V8,"3,996 cc",641.0,305.0,3.3,"$242,000 ",Petrol,5,850 Nm,3996.0,850.0,5.0,242000.0,2.101639344262295
Lamborghini,AVENTADOR ULTIMAE,V12,"6,498 cc",769.0,355.0,2.8,"$545,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,545000.0,2.1661971830985913
Lamborghini,HURACAN EVO RWD,V10,"5,204 cc",610.0,325.0,3.3,"$258,000 ",Petrol,2,560 Nm,5204.0,560.0,2.0,258000.0,1.876923076923077
Lamborghini,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759.0,350.0,2.9,"$573,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,573000.0,2.1685714285714286
Lamborghini,URUS S,V8,"3,996 cc",671.0,305.0,3.3,"$263,000 ",Petrol,5,850 Nm,3996.0,850.0,5.0,263000.0,2.2
Lamborghini,HURACAN STO,V10,"5,204 cc",640.0,325.0,3.0,"$327,000 ",Petrol,2,565 Nm,5204.0,565.0,2.0,327000.0,1.9692307692307693
Lamborghini,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769.0,355.0,2.8,"$545,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,545000.0,2.1661971830985913
Lamborghini,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610.0,325.0,3.3,"$273,000 ",Petrol,2,600 Nm,5204.0,600.0,2.0,273000.0,1.876923076923077
Lamborghini,AVENTADOR SVJ XAGO,V12,"6,498 cc",759.0,350.0,2.9,"$603,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,603000.0,2.1685714285714286
Lamborghini,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641.0,305.0,3.3,"$253,000 ",Petrol,5,850 Nm,3998.0,850.0,5.0,253000.0,2.101639344262295
Lamborghini,HURACAN STO EVO,V10,"5,204 cc",640.0,325.0,3.0,"$342,000 ",Petrol,2,565 Nm,5204.0,565.0,2.0,342000.0,1.9692307692307693
Lamborghini,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769.0,355.0,2.8,"$573,000 ",Petrol,2,720 Nm,6498.0,720.0,2.0,573000.0,2.1661971830985913
Rolls Royce,GHOST,V12,"6,592 cc",591.0,250.0,4.8,"$332,000 ",Petrol,5,850 Nm,6592.0,850.0,5.0,332000.0,2.364
Rolls Royce,WRAITH,V12,"6,592 cc",624.0,250.0,4.4,"$330,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,330000.0,2.496
Rolls Royce,DAWN,V12,"6,592 cc",624.0,250.0,4.9,"$360,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,360000.0,2.496
Rolls Royce,CULLINAN,V12,"6,749 cc",563.0,250.0,5.2,"$325,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,325000.0,2.252
Rolls Royce,PHANTOM EXTENDED,V12,"6,749 cc",563.0,250.0,5.3,"$500,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,500000.0,2.252
Rolls Royce,GHOST EXTENDED,V12,"6,592 cc",591.0,250.0,4.8,"$370,000 ",Petrol,5,850 Nm,6592.0,850.0,5.0,370000.0,2.364
Rolls Royce,WRAITH BLACK BADGE,V12,"6,592 cc",624.0,250.0,4.3,"$360,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,360000.0,2.496
Rolls Royce,DAWN BLACK BADGE,V12,"6,592 cc",624.0,250.0,4.8,"$390,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,390000.0,2.496
Rolls Royce,CULLINAN BLACK BADGE,V12,"6,749 cc",563.0,250.0,5.1,"$350,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,350000.0,2.252
Rolls Royce,PHANTOM COUPE,V12,"6,749 cc",563.0,250.0,5.3,"$450,000 ",Petrol,4,870 Nm,6749.0,870.0,4.0,450000.0,2.252
Rolls Royce,GHOST COUPE,V12,"6,592 cc",591.0,250.0,4.8,"$340,000 ",Petrol,4,850 Nm,6592.0,850.0,4.0,340000.0,2.364
Rolls Royce,WRAITH COUPE,V12,"6,592 cc",624.0,250.0,4.4,"$330,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,330000.0,2.496
Rolls Royce,DAWN CONVERTIBLE,V12,"6,592 cc",624.0,250.0,4.9,"$380,000 ",Petrol,4,870 Nm,6592.0,870.0,4.0,380000.0,2.496
Rolls Royce,CULLINAN SUV,V12,"6,749 cc",563.0,250.0,5.2,"$320,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,320000.0,2.252
Mercedes,BENZ S-CLASS S 580,V8,"3,982 cc",496.0,250.0,4.4,"$116,000 ",Petrol,5,700 Nm,3982.0,700.0,5.0,116000.0,1.984
Mercedes,BENZ E-CLASS E 63 S,V8,"3,982 cc",603.0,250.0,3.4,"$104,000 ",Petrol,5,850 Nm,3982.0,850.0,5.0,104000.0,2.412
Mercedes,BENZ CLA 45 AMG,I4,1991 cc,382.0,250.0,4.1,"$53,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,53000.0,1.528
Mercedes,BENZ GLE 63 S,V8,"3,982 cc",603.0,250.0,4.2,"$113,000 ",Petrol,5,850 Nm,3982.0,850.0,5.0,113000.0,2.412
Mercedes,BENZ S-CLASS S 500,V6,"2,996 cc",429.0,250.0,4.9,"$109,000 ",Petrol,5,700 Nm,2996.0,700.0,5.0,109000.0,1.716
Mercedes,BENZ E-CLASS E 450,V6,"2,996 cc",362.0,250.0,5.2,"$62,000 ",Petrol,5,500 Nm,2996.0,500.0,5.0,62000.0,1.448
Mercedes,BENZ CLS 450,V6,"2,996 cc",362.0,250.0,5.2,"$70,000 ",Petrol,5,500 Nm,2996.0,500.0,5.0,70000.0,1.448
Mercedes,BENZ GT 53,V6,"2,996 cc",429.0,250.0,4.5,"$99,000 ",Petrol,5,700 Nm,2996.0,700.0,5.0,99000.0,1.716
Mercedes,BENZ GLE 450,V6,"2,996 cc",362.0,250.0,5.5,"$63,000 ",Petrol,5,500 Nm,2996.0,500.0,5.0,63000.0,1.448
Mercedes,BENZ A-CLASS A 45 S,I4,"1,991 cc",416.0,250.0,3.9,"$53,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,53000.0,1.664
Mercedes,BENZ C-CLASS C 43,V6,"2,996 cc",402.0,250.0,4.7,"$52,000 ",Petrol,5,520 Nm,2996.0,520.0,5.0,52000.0,1.608
Mercedes,BENZ E-CLASS E 350,I4,"1,991 cc",255.0,250.0,5.7,"$49,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,49000.0,1.02
Mercedes,BENZ GLE 350,I4,"1,991 cc",255.0,250.0,6.1,"$53,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,53000.0,1.02
Mercedes,BENZ GLC 43,V6,"2,996 cc",402.0,250.0,4.7,"$54,000 ",Petrol,5,520 Nm,2996.0,520.0,5.0,54000.0,1.608
Mercedes,BENZ GLA 45,I4,"1,991 cc",382.0,250.0,4.3,"$48,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,48000.0,1.528
Mercedes,BENZ GLC 350,I4,"1,991 cc",255.0,250.0,6.1,"$46,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,46000.0,1.02
Mercedes,BENZ GLE 53,V6,"2,996 cc",429.0,250.0,5.2,"$71,000 ",Petrol,5,620 Nm,2996.0,620.0,5.0,71000.0,1.716
Mercedes,BENZ S-CLASS S 350,I4,"1,991 cc",255.0,250.0,6.5,"$90,000 ",Petrol,5,500 Nm,1991.0,500.0,5.0,90000.0,1.02
Mercedes,BENZ EQS 53,ELECTRIC MOTOR,,751.0,250.0,3.4,"$102,000 ",Electric,5,950 Nm,2500.0,950.0,5.0,102000.0,3.004
Mercedes,BENZ MAYBACH S 680,V12,"5,980 cc",630.0,250.0,4.7,"$200,000 ",Petrol,5,1000 Nm,5980.0,1000.0,5.0,200000.0,2.52
Bmw,M5 CS,V8,"4,395 cc",627.0,305.0,3.0,"$142,000 ",Petrol,5,750 Nm,4395.0,750.0,5.0,142000.0,2.055737704918033
Bmw,M4 GTS,I6,"2,993 cc",493.0,305.0,3.7,"$133,000 ",Petrol,4,600 Nm,2993.0,600.0,4.0,133000.0,1.616393442622951
Bmw,M3 COMPETITION,I6,"2,993 cc",503.0,285.0,3.5,"$76,000 ",Petrol,5,650 Nm,2993.0,650.0,5.0,76000.0,1.7649122807017543
Bmw,M2 CS,I6,"2,993 cc",444.0,280.0,4.0,"$83,000 ",Petrol,4,550 Nm,2993.0,550.0,4.0,83000.0,1.5857142857142856
Bmw,X5 M COMPETITION,V8,"4,935 cc",523.0,285.0,4.1,"$114,000 ",Petrol,5,750 Nm,4935.0,750.0,5.0,114000.0,1.8350877192982455
Bmw,X3 M COMPETITION,I6,"2,993 cc",503.0,285.0,4.1,"$69,000 ",Petrol,5,650 Nm,2993.0,650.0,5.0,69000.0,1.7649122807017543
Bmw,M8 GRAN COUPE,V8,"4,395 cc",523.0,305.0,3.3,"$146,000 ",Petrol,5,750 Nm,4395.0,750.0,5.0,146000.0,1.7147540983606557
Bmw,M850i DRIVE COUPE,V8,"4,935 cc",523.0,285.0,3.7,"$108,000 ",Petrol,4,750 Nm,4935.0,750.0,4.0,108000.0,1.8350877192982455
Rolls Royce,DAWN BLACK BADGE VOLANTE,V12,"6,592 cc",563.0,250.0,4.8,"$398,000 ",Petrol,4,840 Nm,6592.0,840.0,4.0,398000.0,2.252
Rolls Royce,CULLINAN BLACK BADGE SUV,V12,"6,749 cc",563.0,250.0,5.1,"$381,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,381000.0,2.252
Rolls Royce,PHATOM TRANQUILITY,V12,"6,749 cc",563.0,250.0,5.3,"$475,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,475000.0,2.252
Rolls Royce,GHOST ZENITH,V12,"6,749 cc",563.0,250.0,4.9,"$335,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,335000.0,2.252
Rolls Royce,WRAITH EAGLE VIII,V12,"6,592 cc",623.0,250.0,4.5,"$349,000 ",Petrol,4,800 Nm,6592.0,800.0,4.0,349000.0,2.492
Rolls Royce,PHATOM ORCHID,V12,"6,749 cc",563.0,250.0,5.3,"$495,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,495000.0,2.252
Rolls Royce,GHOST AZURE,V12,"6,749 cc",563.0,250.0,4.9,"$355,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,355000.0,2.252
Rolls Royce,WRAITH KRYPTOS,V12,"6,592 cc",623.0,250.0,4.5,"$369,000 ",Petrol,4,800 Nm,6592.0,800.0,4.0,369000.0,2.492
Rolls Royce,DAWN SILVER BULLET,V12,"6,592 cc",563.0,250.0,4.8,"$418,000 ",Petrol,4,840 Nm,6592.0,840.0,4.0,418000.0,2.252
Rolls Royce,CULLINAN FUX ORANGE,V12,"6,749 cc",563.0,250.0,5.1,"$401,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,401000.0,2.252
Rolls Royce,PHANTOM CELESTIAL,V12,"6,749 cc",563.0,250.0,5.3,"$515,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,515000.0,2.252
Rolls Royce,GHOST MYSORE,V12,"6,749 cc",563.0,250.0,4.9,"$375,000 ",Petrol,5,900 Nm,6749.0,900.0,5.0,375000.0,2.252
Rolls Royce,WRAITH LUMINARY,V12,"6,592 cc",623.0,250.0,4.5,"$389,000 ",Petrol,4,800 Nm,6592.0,800.0,4.0,389000.0,2.492
Rolls Royce,DAWN BLACK BADGE ADAMAS,V12,"6,592 cc",563.0,250.0,4.8,"$439,000 ",Petrol,4,840 Nm,6592.0,840.0,4.0,439000.0,2.252
Rolls Royce,CULLINAN RED DIAMOND,V12,"6,749 cc",563.0,250.0,5.1,"$421,000 ",Petrol,5,850 Nm,6749.0,850.0,5.0,421000.0,2.252
Audi,R8 V10 PLUS,V10,"5,204 cc",610.0,330.0,3.2,"$194,000 ",Petrol,2,560 Nm,5204.0,560.0,2.0,194000.0,1.8484848484848484
Audi,RS7 SPORTBACK,V8,"3,993 cc",591.0,305.0,3.6,"$114,000 ",Petrol,5,800 Nm,3993.0,800.0,5.0,114000.0,1.937704918032787
Audi,S8,V8,"3,993 cc",563.0,305.0,4.3,"$101,000 ",Petrol,5,800 Nm,3993.0,800.0,5.0,101000.0,1.8459016393442622
Audi,RS6 AVANT,V8,"3,993 cc",591.0,305.0,3.6,"$109,000 ",Petrol,5,800 Nm,3993.0,800.0,5.0,109000.0,1.937704918032787
Audi,S7 SPORTBACK,V8,"3,993 cc",563.0,305.0,4.3,"$96,000 ",Petrol,5,650 Nm,3993.0,650.0,5.0,96000.0,1.8459016393442622
Audi,A8,V6,"2,995 cc",335.0,250.0,5.7,"$86,000 ",Petrol,5,600 Nm,2995.0,600.0,5.0,86000.0,1.34
Audi,S5 COUPE,V6,"2,995 cc",349.0,250.0,4.8,"$64,000 ",Petrol,4,500 Nm,2995.0,500.0,4.0,64000.0,1.396
Audi,SQ5,V6,"2,995 cc",349.0,250.0,5.4,"$62,000 ",Petrol,5,500 Nm,2995.0,500.0,5.0,62000.0,1.396
Audi,S4 SEDAN,V6,"2,995 cc",349.0,250.0,4.7,"$59,000 ",Petrol,5,500 Nm,2995.0,500.0,5.0,59000.0,1.396
Audi,S3 SEDAN,I4,"1,984 cc",306.0,250.0,4.8,"$52,000 ",Petrol,5,400 Nm,1984.0,400.0,5.0,52000.0,1.224
Audi,Q7,V6,"2,995 cc",335.0,250.0,6.3,"$60,000 ",Petrol,7,600 Nm,2995.0,600.0,7.0,60000.0,1.34
Audi,Q5,I4,"1,984 cc",248.0,240.0,6.3,"$43,000 ",Petrol,5,500 Nm,1984.0,500.0,5.0,43000.0,1.0333333333333334
Audi,A7,V6,"2,995 cc",335.0,250.0,5.7,"$68,000 ",Petrol,5,600 Nm,2995.0,600.0,5.0,68000.0,1.34
Audi,A6,V6,"2,995 cc",335.0,250.0,5.7,"$58,000 ",Petrol,5,600 Nm,2995.0,600.0,5.0,58000.0,1.34
Audi,A5 COUPE,I4,"1,984 cc",248.0,240.0,6.3,"$45,000 ",Petrol,4,500 Nm,1984.0,500.0,4.0,45000.0,1.0333333333333334
Audi,A4,I4,"1,984 cc",248.0,240.0,6.5,"$39,000 ",Petrol,5,400 Nm,1984.0,400.0,5.0,39000.0,1.0333333333333334
Audi,Q3,I4,"1,984 cc",248.0,230.0,7.3,"$35,000 ",Petrol,5,400 Nm,1984.0,400.0,5.0,35000.0,1.0782608695652174
Audi,E-TRON,ELECTRIC,95 kwh,402.0,200.0,5.5,"$75,000 ",Electric,5,664 Nm,2500.0,664.0,5.0,75000.0,2.01
Audi,E-TRON SPORTBACK,ELECTRIC,95 kwh,402.0,200.0,5.5,"$78,000 ",Electric,5,664 Nm,2500.0,664.0,5.0,78000.0,2.01
Audi,TT COUPE,I4,"1,984 cc",248.0,250.0,5.3,"$49,000 ",Petrol,2,400 Nm,1984.0,400.0,2.0,49000.0,0.992
Bmw,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369.0,250.0,4.4,"$165,000 ",Hybrid,2,570 Nm,2500.0,570.0,2.0,165000.0,1.476
Bmw,330i,I4,"1,998 cc",255.0,250.0,5.6,"$45,000 ",Petrol,5,400 Nm,1998.0,400.0,5.0,45000.0,1.02
Bmw,M340i XDRIVE,I6,"2,998 cc",382.0,250.0,4.1,"$57,000 ",Petrol,5,500 Nm,2998.0,500.0,5.0,57000.0,1.528
Bmw,430i COUPE,I4,"1,998 cc",255.0,250.0,5.8,"$48,000 ",Petrol,4,400 Nm,1998.0,400.0,4.0,48000.0,1.02
Bmw,M4 COMPETITION,I6,"2,993 cc",503.0,290.0,3.8,"$81,000 ",Petrol,4,650 Nm,2993.0,650.0,4.0,81000.0,1.7344827586206897
Bmw,530i,I4,"1,998 cc",248.0,250.0,5.9,"$57,000 ",Petrol,5,400 Nm,1998.0,400.0,5.0,57000.0,0.992
Bmw,M550i XDRIVE,V8,"4,395 cc",523.0,250.0,3.6,"$78,000 ",Petrol,5,650 Nm,4395.0,650.0,5.0,78000.0,2.092
Bmw,118i,I3,"1,499 cc",136.0,213.0,8.5,"$32,000 ",Petrol,5,220 Nm,1499.0,220.0,5.0,32000.0,0.6384976525821596
Bmw,128ti,I4,"1,998 cc",261.0,250.0,6.1,"$42,000 ",Petrol,5,400 Nm,1998.0,400.0,5.0,42000.0,1.044
Bmw,M135i XDRIVE,I4,"1,998 cc",302.0,250.0,4.8,"$30,000 ",Petrol,5,450 Nm,1998.0,450.0,5.0,30000.0,1.208
Bmw,116D,I3,"1,496 cc",116.0,200.0,10.3,"$30,000 ",Diesel,5,280 Nm,1496.0,280.0,5.0,30000.0,0.58
Bmw,120D XDRIVE,I4,"1,995 cc",190.0,230.0,6.9,"$38,000 ",Diesel,5,400 Nm,1995.0,400.0,5.0,38000.0,0.8260869565217391
Bmw,116i,I3,"1,499 cc",109.0,200.0,10.9,"$28,000 ",Petrol,5,200 Nm,1499.0,200.0,5.0,28000.0,0.545
Bmw,118D,I4,"1,995 cc",150.0,216.0,8.4,"$34,000 ",Diesel,5,380 Nm,1995.0,380.0,5.0,34000.0,0.6944444444444444
Bmw,120i,I4,"1,998 cc",178.0,230.0,7.1,"$37,000 ",Petrol,5,300 Nm,1998.0,300.0,5.0,37000.0,0.7739130434782608
Bmw,125i,I4,"1,998 cc",224.0,240.0,6.1,"$42,000 ",Petrol,5,400 Nm,1998.0,400.0,5.0,42000.0,0.9333333333333333
Bmw,114D,I3,"1,496 cc",95.0,185.0,12.2,"$27,000 ",Diesel,5,270 Nm,1496.0,270.0,5.0,27000.0,0.5135135135135135
Bmw,114i,I4,"1,598 cc",102.0,195.0,11.2,"$26,000 ",Petrol,5,200 Nm,1598.0,200.0,5.0,26000.0,0.5230769230769231
Bmw,125D,I4,"1,995 cc",224.0,240.0,6.3,"$44,000 ",Diesel,5,400 Nm,1995.0,400.0,5.0,44000.0,0.9333333333333333
Bmw,118i XDRIVE,I3,"1,499 cc",136.0,211.0,8.9,"$34,000 ",Petrol,5,250 Nm,1499.0,250.0,5.0,34000.0,0.6445497630331753
Bmw,116D EFFICIENTDYNAMICS,I3,"1,496 cc",116.0,200.0,10.9,"$30,000 ",Diesel,5,270 Nm,1496.0,270.0,5.0,30000.0,0.58
